abstract,web_url,snippet,lead_paragraph,print_section,print_page,source,keywords,pub_date,document_type,news_desk,section_name,subsection_name,type_of_material,_id,word_count,uri,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.person,byline.organization
"President Trump will try to put the media on the ballot, and reporters face the increasing temptation to posture for those most eager to oust him.",https://www.nytimes.com/2020/09/06/business/media/trump-election-journalists.html,"President Trump will try to put the media on the ballot, and reporters face the increasing temptation to posture for those most eager to oust him.","The worst thing about being a reporter in the age of Donald Trump is, of course, the president’s concerted attacks on the free press. The second-worst thing is well-meaning readers who say things like, “Thank you for what you do.”",B,3,The New York Times,"[{'name': 'subject', 'value': 'News and News Media', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 4, 'major': 'N'}]",2020-09-07 01:30:15+00:00,article,Business,Business Day,Media,News,nyt://article/d8c8685b-793d-52de-864c-80c9dda21eef,1724,nyt://article/d8c8685b-793d-52de-864c-80c9dda21eef,Journalists Aren’t the Enemy of the People. But We’re Not Your Friends.,the media equation,,We Aren’t the Enemy of the People. But We’re Not Your Friends.,,,,By Ben Smith,"[{'firstname': 'Ben', 'middlename': None, 'lastname': 'Smith', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
"Forced underground in the 1990s to a life of cover gigs and guitar lessons, they are re-emerging amid the country’s political awakening.",https://www.nytimes.com/2020/09/06/world/europe/belarus-protests-music.html,"Forced underground in the 1990s to a life of cover gigs and guitar lessons, they are re-emerging amid the country’s political awakening.","MINSK, Belarus — Pit Pawlaw, guitar in hand, bobbed before the line of riot police guarding the presidential palace, belting out the chorus of his band’s biggest hit even as a siren blared. The protesters joined in behind him: “Hey, la-la-la-lai, don’t wait, don’t wait.”",A,1,The New York Times,"[{'name': 'subject', 'value': 'Demonstrations, Protests and Riots', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Music', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Pop and Rock Music', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Lukashenko, Aleksandr G', 'rank': 4, 'major': 'N'}, {'name': 'glocations', 'value': 'Belarus', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Minsk (Belarus)', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Politics and Government', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Elections', 'rank': 8, 'major': 'N'}]",2020-09-07 02:00:10+00:00,article,Foreign,World,Europe,News,nyt://article/81830566-a70a-504c-bca8-c3a56b599d6a,1317,nyt://article/81830566-a70a-504c-bca8-c3a56b599d6a,"For Aging Belarus Rockers, a Late Shot at Stardom",,,Aging Rockers Emerge to Lead Belarus Revolt,,,,By Anton Troianovski,"[{'firstname': 'Anton', 'middlename': None, 'lastname': 'Troianovski', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
"The vice-presidential candidates will be on opposite ends of Wisconsin, a battleground that is increasingly essential to President Trump in November.",https://www.nytimes.com/2020/09/07/us/politics/labor-day-kamala-harris-mike-pence.html,"The vice-presidential candidates will be on opposite ends of Wisconsin, a battleground that is increasingly essential to President Trump in November.","LA CROSSE, Wis. — Labor Day is the traditional kickoff to the fall campaign season, but this year the holiday represents something more: the first time both candidates for vice president will be on the trail on the same day in the same state.",,,The New York Times,"[{'name': 'persons', 'value': 'Harris, Kamala D', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Pence, Mike', 'rank': 2, 'major': 'N'}, {'name': 'glocations', 'value': 'Wisconsin', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Vice Presidents and Vice Presidency (US)', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 7, 'major': 'N'}]",2020-09-07 04:01:08+00:00,article,Politics,U.S.,Politics,News,nyt://article/4e1ef1e3-9134-5aac-9213-37e1306c5827,741,nyt://article/4e1ef1e3-9134-5aac-9213-37e1306c5827,What to Watch For as Harris and Pence Visit Wisconsin on Labor Day,,,,,,,By Jonathan Martin,"[{'firstname': 'Jonathan', 'middlename': None, 'lastname': 'Martin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Communities are running short on time to hire poll workers and reconfigure in-person voting to make it safe during a pandemic.,https://www.nytimes.com/2020/09/07/us/politics/vote-in-person-covid.html,Communities are running short on time to hire poll workers and reconfigure in-person voting to make it safe during a pandemic.,"PHILADELPHIA — Unnerved by the difficulties of voting amid a pandemic and faced with both the political static injected by President Trump and the limits on expanding voting by mail, state and local authorities across the country are racing to rethink and reinforce the polling sites where tens of millions of people are still expected to cast their ballots.",A,1,The New York Times,"[{'name': 'subject', 'value': 'Voting and Voters', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Absentee Voting', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Shortages', 'rank': 5, 'major': 'N'}]",2020-09-07 07:00:09+00:00,article,Politics,U.S.,Politics,News,nyt://article/d6aa9eb1-5edb-5221-9f8e-a40fcf65a381,1559,nyt://article/d6aa9eb1-5edb-5221-9f8e-a40fcf65a381,"In Year of Voting by Mail, a Scramble to Beef Up In-Person Voting, Too",,,Safety Shapes Plans to Fortify Voting Stations,,,,By Nick Corasaniti and Michael Wines,"[{'firstname': 'Nick', 'middlename': None, 'lastname': 'Corasaniti', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Michael', 'middlename': None, 'lastname': 'Wines', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",
Prime Minister Boris Johnson is threatening to cut off negotiations by Oct. 15 if there is no progress. The European Union says the British are not negotiating.,https://www.nytimes.com/2020/09/07/world/europe/brexit-boris-johnson.html,Prime Minister Boris Johnson is threatening to cut off negotiations by Oct. 15 if there is no progress. The European Union says the British are not negotiating.,LONDON — Bellicose threats to walk away from the bargaining table. Defiant assertions of British sovereignty and promises not to become a “client state” of Europe. Ominous talk of a hard border rising again across Ireland.,A,9,The New York Times,"[{'name': 'subject', 'value': 'Great Britain Withdrawal from EU (Brexit)', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 2, 'major': 'N'}, {'name': 'organizations', 'value': 'Conservative Party (Great Britain)', 'rank': 3, 'major': 'N'}, {'name': 'organizations', 'value': 'European Union', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Barnier, Michel', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Johnson, Boris', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Starmer, Keir', 'rank': 7, 'major': 'N'}]",2020-09-07 17:15:32+00:00,article,Foreign,World,Europe,News,nyt://article/8856af46-00b4-5ab4-80fe-7a428ba8fcd1,1122,nyt://article/8856af46-00b4-5ab4-80fe-7a428ba8fcd1,"As Brexit Deadlines Loom, the Posturing and Bickering Flare Again",,,Brinkmanship Permeates Brexit Trade Deal Sessions,,,,By Mark Landler and Stephen Castle,"[{'firstname': 'Mark', 'middlename': None, 'lastname': 'Landler', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Stephen', 'middlename': None, 'lastname': 'Castle', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",
"Five months ago, President Trump’s re-election campaign had a huge financial edge over Joseph R. Biden Jr.’s. The Times conducted an extensive review of how the Trump team spent lavishly to show how that advantage evaporated.",https://www.nytimes.com/2020/09/07/us/politics/trump-election-campaign-fundraising.html,"Five months ago, President Trump’s re-election campaign had a huge financial edge over Joseph R. Biden Jr.’s. The Times conducted an extensive review of how the Trump team spent lavishly to show how that advantage evaporated.","Money was supposed to have been one of the great advantages of incumbency for President Trump, much as it was for President Barack Obama in 2012 and George W. Bush in 2004. After getting outspent in 2016, Mr. Trump filed for re-election on the day of his inauguration — earlier than any other modern president — betting that the head start would deliver him a decisive financial advantage this year.",A,1,The New York Times,"[{'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Campaign Finance', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Political Advertising', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 5, 'major': 'N'}, {'name': 'persons', 'value': 'Dershowitz, Alan M', 'rank': 6, 'major': 'N'}, {'name': 'persons', 'value': 'Parscale, Brad (1976- )', 'rank': 7, 'major': 'N'}, {'name': 'persons', 'value': 'Stepien, Bill', 'rank': 8, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 9, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican National Committee', 'rank': 10, 'major': 'N'}, {'name': 'organizations', 'value': 'Republican Party', 'rank': 11, 'major': 'N'}]",2020-09-07 21:21:48+00:00,article,Politics,U.S.,Politics,News,nyt://article/a42750d6-5b61-5698-b0b8-b34ce83552e1,2410,nyt://article/a42750d6-5b61-5698-b0b8-b34ce83552e1,How Trump’s Billion-Dollar Campaign Lost Its Cash Advantage,,,TRUMP WAR CHEST  OF OVER $1 BILLION  IS DWINDLING FAST,,,,By Shane Goldmacher and Maggie Haberman,"[{'firstname': 'Shane', 'middlename': None, 'lastname': 'Goldmacher', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Maggie', 'middlename': None, 'lastname': 'Haberman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",
"The unofficial Labor Day kickoff to the fall campaign centered on Pennsylvania and Wisconsin, two pivotal states for both the president and Joseph R. Biden Jr.",https://www.nytimes.com/2020/09/07/us/politics/wisconsin-biden-harris-trump-pence.html,"The unofficial Labor Day kickoff to the fall campaign centered on Pennsylvania and Wisconsin, two pivotal states for both the president and Joseph R. Biden Jr.","LA CROSSE, Wis. — For a few hours, the unofficial Labor Day start to the fall presidential campaign centered around Wisconsin, as Vice President Mike Pence tried to poach Democrats in this Mississippi River town and Senator Kamala Harris sought to rally the Democratic base in Milwaukee.",A,15,The New York Times,"[{'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Harris, Kamala D', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Pence, Mike', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 5, 'major': 'N'}, {'name': 'glocations', 'value': 'Wisconsin', 'rank': 6, 'major': 'N'}, {'name': 'glocations', 'value': 'Pennsylvania', 'rank': 7, 'major': 'N'}]",2020-09-07 23:10:29+00:00,article,Politics,U.S.,Politics,News,nyt://article/707eea94-4511-58ac-98ab-061fb6680fdb,1598,nyt://article/707eea94-4511-58ac-98ab-061fb6680fdb,Pence and Harris Vie for Wisconsin as Trump Vents From the White House,,,"As Campaigns Hit Road, Trump Seethes at Home",,,,By Jonathan Martin and Alexander Burns,"[{'firstname': 'Jonathan', 'middlename': None, 'lastname': 'Martin', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}, {'firstname': 'Alexander', 'middlename': None, 'lastname': 'Burns', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 2}]",
"The potential move, which could come as soon as Tuesday, comes amid reports of the use of forced labor in Xinjiang, where China has carried out a crackdown against mostly Muslim minorities.",https://www.nytimes.com/2020/09/07/business/economy/us-china-xinjiang-cotton-ban.html,"The potential move, which could come as soon as Tuesday, comes amid reports of the use of forced labor in Xinjiang, where China has carried out a crackdown against mostly Muslim minorities.","WASHINGTON — The Trump administration is weighing a ban on some or all products made with cotton from the Xinjiang region of China, a move that could come as soon as Tuesday as the United States looks to punish Beijing over alleged human rights violations, three people familiar with the matter said.",B,2,The New York Times,"[{'name': 'subject', 'value': 'United States International Relations', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Forced Labor', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'International Trade and World Market', 'rank': 3, 'major': 'N'}, {'name': 'glocations', 'value': 'China', 'rank': 4, 'major': 'N'}, {'name': 'subject', 'value': 'Embargoes and Sanctions', 'rank': 5, 'major': 'N'}, {'name': 'subject', 'value': 'Fashion and Apparel', 'rank': 6, 'major': 'N'}, {'name': 'subject', 'value': 'Human Rights and Human Rights Violations', 'rank': 7, 'major': 'N'}, {'name': 'subject', 'value': 'Factories and Manufacturing', 'rank': 8, 'major': 'N'}, {'name': 'subject', 'value': 'Textiles', 'rank': 9, 'major': 'N'}, {'name': 'subject', 'value': 'United States Politics and Government', 'rank': 10, 'major': 'N'}, {'name': 'glocations', 'value': 'Xinjiang (China)', 'rank': 11, 'major': 'N'}]",2020-09-08 00:30:07+00:00,article,Washington,Business Day,Economy,News,nyt://article/44a9ceec-9424-5a0d-a316-b88f66604819,528,nyt://article/44a9ceec-9424-5a0d-a316-b88f66604819,U.S. May Ban Cotton From Xinjiang Region of China Over Rights Concerns,,,U.S. May Ban Cotton From Region of China,,,,By Ana Swanson,"[{'firstname': 'Ana', 'middlename': None, 'lastname': 'Swanson', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
Britain is expected to limit most social gatherings to six people after a spike in cases. A political uproar quashed plans for targeted lockdowns in Israel. People caught maskless in Indonesia were told to lie in a coffin as punishment.,https://www.nytimes.com/2020/09/08/world/covid-19-coronavirus.html,Britain is expected to limit most social gatherings to six people after a spike in cases. A political uproar quashed plans for targeted lockdowns in Israel. People caught maskless in Indonesia were told to lie in a coffin as punishment.,[Follow our live Covid-19 updates around the globe.],,,The New York Times,"[{'name': 'subject', 'value': 'Coronavirus (2019-nCoV)', 'rank': 1, 'major': 'N'}]",2020-09-08 09:17:03+00:00,article,Foreign,World,,News,nyt://article/73420874-454f-5487-ac11-34386851d27d,5646,nyt://article/73420874-454f-5487-ac11-34386851d27d,Drugmaker Pauses Covid-19 Vaccine Trial for Safety Review,,,,,,,,[],
"Harris and Pence come to Wisconsin bearing two very different messages, while Biden and Trump accuse each other of politicizing the virus.",https://www.nytimes.com/2020/09/08/us/politics/harris-pence-wisconsin.html,"Harris and Pence come to Wisconsin bearing two very different messages, while Biden and Trump accuse each other of politicizing the virus.","Harris and Pence come to Wisconsin bearing two very different messages, while Biden and Trump accuse each other of politicizing the virus. It’s Tuesday, and this is your politics tip sheet. ",,,The New York Times,"[{'name': 'subject', 'value': 'Presidential Election of 2020', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Harris, Kamala D', 'rank': 2, 'major': 'N'}, {'name': 'persons', 'value': 'Biden, Joseph R Jr', 'rank': 3, 'major': 'N'}, {'name': 'persons', 'value': 'Pence, Mike', 'rank': 4, 'major': 'N'}, {'name': 'persons', 'value': 'Trump, Donald J', 'rank': 5, 'major': 'N'}]",2020-09-08 11:01:20+00:00,article,Politics,U.S.,Politics,News,nyt://article/d1bbb17b-1638-5c75-89fc-d1a1ba010f3e,1136,nyt://article/d1bbb17b-1638-5c75-89fc-d1a1ba010f3e,Kamala Harris Visits Wisconsin,On Politics,,,,,,By Giovanni Russonello,"[{'firstname': 'Giovanni', 'middlename': None, 'lastname': 'Russonello', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}]",
